track_id,artist,title,current_genre,current_subgenre,source,confidence,priority,reason
1928,Aaron Tippin,"Aaron Tippin -  Drill Here, Drill Now",,,,,1,no_label
1930,Aaron Tippin,Aaron Tippin - Drivin' Fool ,,,,,1,no_label
1953,Airborne,Airbourne - Runnin' Wild,,,,,1,no_label
2008,Blake Shelton,Blake Shelton - Come Back As A Country Boy,,,,,1,no_label
2017,Bottleneck,Bottleneck - On My Own,,,,,1,no_label
2099,Chris Young,Chris Young - The Man I Want To Be,,,,,1,no_label
2148,Dan Pocaigue,Dan Pocaigue - Its You,,,,,1,no_label
2172,Degreed,Degreed - Into The Fire,,,,,1,no_label
2186,Country HipHop,Dillon Carmichael - Hot Beer,,,,,1,no_label
2198,DJ LOA,DJ LOA - Don’t Say Goodbye Remix,,,,,1,no_label
2199,Dokken,Dokken - Just Got Lucky,,,,,1,no_label
2208,Unknown,Eagles - Love Will Keep Us Alive,,,,,1,no_label
2224,Five Finger Death Punch,Five Finger Death Punch - Brighter Side Of Grey,,,,,1,no_label
2225,5FDPVEVO,Five Finger Death Punch - Coming Down,,,,,1,no_label
2232,5FDPVEVO,Five Finger Death Punch - My Nemesis,,,,,1,no_label
2233,5FDPVEVO,Five Finger Death Punch - The Bleeding,,,,,1,no_label
2254,Garrett Biggs,Garret Biggs - Momma Didn't Raise No,,,,,1,no_label
2259,Garth Brooks,Garth Brooks - Dive Bar,,,,,1,no_label
2285,Tom MacDonald,Getting Old - Tom MacDonald,,,,,1,no_label
2286,Tom MacDonald,Ghost-1 - Tom MacDonald,,,,,1,no_label
2289,Girish & The Chronicles,Girish and The Chronicles - Hail To The Heroes,,,,,1,no_label
2291,Girish & The Chronicles,Girish And The Chronicles - Love's Damnation,,,,,1,no_label
2292,Girish & The Chronicles,Girish And The Chronicles - Primeval Desire,,,,,1,no_label
2309,Hopsin,Hopsin - ILL MIND OF HOPSIN 5,,,,,1,no_label
2336,Jawga Boyz,Jawga Boyz - Born With It,,,,,1,no_label
2337,Jawga Boyz,Jawga Boyz - Girl Ridin' Shotgun,,,,,1,no_label
2338,JD Crutch,JD Crutch - Apo Magi,,,,,1,no_label
2340,Jeff Scott Soto,Jeff Scott Soto ft. Spektra - Last To Know,,,,,1,no_label
